nmse_train,nmse_test
0.23668810620041403,0.6967522203655817
0.14738572743822245,0.3296736108134766
0.15248749405520765,0.2656545357763753
0.14894086940849344,0.6563660643118067
0.1480310524226555,0.2835131236016378
0.14592623022669007,0.31976184758737336
0.15133380939640015,0.27663292692445673
0.14682567459303675,0.3357730720978848
0.14592850032838248,0.31408333485635587
0.14871345707757536,0.4312047771178789
0.1536430976901989,0.47321380964331244
0.14648825876043547,0.34067934260495736
0.1505456389243055,0.34457842827751783
0.14917833312096807,0.7211474102084243
